ID,GEN,PEN,MET,FUS,TEI,VAN,Ery,CLI,LIN,CIP,RIF,TET,TMP
14323_1#40,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#41,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#42,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#43,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#44,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#45,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#46,0,1,1,1,0,0,1,0,0,0,0,0,0
14323_1#47,0,1,1,0,0,0,0,0,0,1,0,0,1
14323_1#48,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#49,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#5,0,1,1,0,0,0,1,0,0,1,0,1,1
14323_1#50,0,1,1,0,0,0,1,0,0,1,0,1,0
14323_1#52,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#53,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#54,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#55,0,1,1,0,0,0,1,0,0,0,0,1,0
14323_1#56,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#57,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#58,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#6,0,1,1,1,0,0,0,0,0,1,0,0,0
14323_1#60,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#61,0,1,1,1,0,0,1,0,0,0,0,0,0
14323_1#62,0,1,1,1,0,0,1,0,0,1,0,1,0
14323_1#66,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#68,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#69,0,1,1,0,0,0,1,0,0,0,0,0,0
14323_1#7,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#70,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#71,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#72,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#73,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#74,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#76,0,1,1,0,0,0,1,0,0,0,0,0,0
14323_1#77,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#79,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#8,0,1,0,1,0,0,0,0,0,0,0,1,1
14323_1#80,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#81,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#82,0,1,1,1,0,0,1,0,0,1,0,0,0
14323_1#83,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#84,1,1,1,1,0,0,1,0,0,1,0,0,0
14323_1#85,0,1,1,0,0,0,0,0,0,1,0,0,1
14323_1#86,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#87,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#88,0,1,1,0,0,0,1,0,0,1,0,1,0
14323_1#89,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#9,0,1,1,0,0,0,1,1,0,1,0,0,0
14324_8#1,1,1,1,1,0,0,1,0,0,1,0,0,0
14324_8#10,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#11,1,1,1,1,0,0,1,0,0,1,0,0,0
14324_8#12,1,1,1,1,0,0,1,0,0,1,0,0,0
14324_8#13,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#15,1,1,1,0,0,0,1,1,0,1,0,0,1
14324_8#16,1,1,1,1,0,0,0,0,0,1,0,0,0
14324_8#17,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#19,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#2,0,1,1,0,0,0,1,0,0,1,0,1,0
14324_8#20,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#21,0,1,1,0,0,0,0,0,0,0,0,1,0
14324_8#22,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#23,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#24,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#25,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#27,0,1,1,0,0,0,1,0,0,0,0,0,0
14324_8#28,0,1,1,0,0,0,1,0,0,0,0,0,0
14324_8#29,0,1,1,0,0,0,0,0,0,0,0,1,0
14324_8#3,0,1,1,0,0,0,1,0,0,1,0,0,0
14324_8#30,0,1,1,1,0,0,0,0,0,0,0,0,0
14324_8#31,0,1,1,0,0,0,0,0,0,1,0,0,0
14324_8#32,0,1,1,0,0,0,1,0,0,1,0,1,0
